poiid,name,feature,sightlevel,distance,com_count,com_score,heat_score
38400678,中国卧龙大熊猫博物馆,25,1,2,1,4.8,0.0
33212758,浪朗地中海水上乐园,10,1,2,2,3.9,0.0
78467422,东门市井,9,1,1,2,4.5,0.0
59711783,孟京辉城市浸没剧《成都偷心》,49,1,1,2,4.7,0.0
56808391,葛仙山镇,15,1,2,1,4.0,0.0
67634222,白云古寨,20,1,3,1,4.0,0.0
57155158,青城马术游乐园,3,1,3,0,0.0,0.0
24651444,舍利宝塔,8,1,3,2,4.8,0.0
13665169,安仁老街,9,1,2,2,4.6,0.0
98208,双桥沟,0,1,1,4,4.6,6.7
13492959,中华蝴蝶生态城,54,1,3,2,3.9,0.0
68158575,古城墙,3,1,2,1,4.7,0.0
133986894,404# Camp captain,32,1,3,0,0.0,0.0
79438856,成都皮影艺术博物馆,25,1,4,0,0.0,0.0
69148973,白沙河,20,1,3,0,0.0,0.0
134048570,舞蹈诗剧《只此青绿》-舞绘《千里江山图》,49,1,1,1,3.3,0.0
69153225,成都城市音乐厅,34,1,1,0,0.0,0.0
18137340,柳街,9,1,3,1,4.0,0.0
69099614,奈尔宝家庭中心（成都环球店）,3,1,1,2,4.4,0.0
55185155,广汉海立方海洋亲子乐园,3,1,1,3,4.5,0.0
22866063,安顺廊桥,3,1,1,2,4.6,0.0
15139128,小渔洞大桥遗址,3,1,3,0,0.0,0.0
13789457,温江绿道,28,1,3,2,4.5,0.0
98275906,白云寺,3,1,3,1,4.0,0.0
131897770,赵公山冰雪世界,3,1,3,1,2.0,0.0
61937298,玉林四巷街道,9,1,1,2,4.7,0.0
76455,什邡蓥华山风景区,20,1,2,2,3.9,0.0
38522947,涸河滩,3,1,5,1,4.0,0.0
10795209,天宝温泉,14,1,3,2,4.7,0.0
102828750,茶坪景区,3,1,3,0,0.0,0.0
31670734,天鹅湖,20,1,1,2,4.6,0.0
58303524,香香巷,9,1,1,2,4.3,0.0
130854246,成都冰雪大世界,3,1,2,1,3.7,0.0
24649063,温江文庙,8,1,2,2,4.6,0.0
24651260,梁家大院,3,1,3,1,4.3,0.0
24653518,卧龙镇,9,1,2,1,4.7,0.0
98117,长坪沟,29,1,1,3,4.5,5.8
118011426,阿凡达：探索潘多拉,24,1,2,1,4.6,0.0
36952036,灵岩古街,8,1,4,1,4.0,0.0
89965,萝卜寨,15,1,1,2,4.4,0.0
112648812,天一广场,18,1,3,0,0.0,0.0
13622491,悦来古镇,15,1,2,2,4.1,0.0
133953103,大野溪地露营地,32,1,2,1,5.0,0.0
38541572,武候祠博物馆西区,25,1,2,2,4.7,0.0
61932928,建设巷,9,1,1,2,5.0,0.0
123865926,成都融创滑雪学校,3,1,5,0,0.0,0.0
130370058,熊猫时空馆,24,1,1,2,3.9,0.0
112652047,大邑千佛山,20,1,3,1,3.0,0.0
36951313,邛人部落,3,1,1,3,4.9,0.0
98121,海子沟,20,1,1,2,4.4,0.0
78408042,幸福田园景区,3,4,3,1,3.8,0.0
13765334,天国寺,8,1,3,1,3.0,0.0
71570403,鲁家滩湿地公园,20,1,2,1,4.4,0.0
133897453,熊猫成都跳伞基地,35,1,3,0,0.0,0.0
130260026,味江·九州实景江湖,44,1,3,1,3.0,0.0
133528182,青城外山,3,1,3,0,0.0,0.0
118695071,古堰南韵川剧秀,46,1,5,0,0.0,0.0
38548523,云霄马戏团,49,1,2,1,4.0,0.0
13753007,烟霞湖,51,1,2,2,3.7,0.0
67709199,龙溪虹口国家级自然保护区-铁瓦寺,8,1,3,0,0.0,0.0
30801814,御垒山居温泉,47,1,5,2,4.5,0.0
52080209,财神殿,8,1,3,1,4.0,0.0
24648508,爱情斑马线,3,1,1,2,4.4,0.0
24649315,大邑雾山,20,1,2,1,4.8,0.0
18455528,红峡谷,20,1,1,2,4.0,0.0
13717243,白塔湖,20,1,2,2,4.0,0.0
79175822,成都夜游锦江,59,1,1,1,3.2,0.0
31813812,无里创意工厂,3,1,2,2,4.4,0.0
10795216,西岭峡谷漂流,43,1,2,3,4.5,0.0
31669184,簇锦古镇,15,1,2,1,5.0,0.0
33059829,斑竹林,39,4,1,2,4.4,0.0
69561475,圣母洞九天玄女宫,18,1,3,0,0.0,0.0
67815802,依田桃源,20,1,2,1,1.0,0.0
58308804,夜啤酒长廊,9,1,5,1,4.5,0.0
56810252,大熊猫一号别墅,53,1,2,2,4.6,0.0
52526328,《今时今日安仁》演出,49,1,2,2,4.7,0.0
80066251,汤乐汇,3,1,2,1,2.8,0.0
52133871,鸡冠山森林公园-风西山国家森林公园,39,1,2,2,4.3,0.0
98282719,刘文彩公馆,3,1,2,1,5.0,0.0
71565361,红豆幸福里,3,1,2,2,3.5,0.0
13302911,街子味江景区,3,1,3,2,4.3,0.0
112647064,金羊村-西部银杏第一村,3,1,3,0,0.0,0.0
102225765,地心引力减压娱乐蹦床团建中心,3,1,1,2,4.5,0.0
18655837,西羌第一村,15,1,2,1,3.6,0.0
89969,九鼎山,0,1,1,2,4.3,5.2
121556329,广汉·奇迹花田,3,1,1,2,3.2,0.0
13719417,合江亭,3,1,1,3,4.4,0.0
39830126,蓥华山水世界,10,1,2,1,4.6,0.0
36168387,青杠树景区,20,4,2,2,4.4,0.0
86696,房湖公园,37,1,1,3,4.5,0.0
44162684,四季冰雪王国-国色天乡（五期）,3,1,2,2,4.0,0.0
18043110,诺亚方舟(创业路店）,3,1,1,4,3.8,0.0
78588106,五星村,3,1,2,1,4.8,0.0
131898391,中国川菜博览馆,25,1,3,1,5.0,0.0
24652933,四川音乐学院,3,1,1,2,4.6,0.0
98275914,高空蹦极,3,1,2,0,0.0,0.0
13806474,成都市文化公园,28,1,2,3,4.6,0.0
15144515,中国科学院华西亚高山植物园,54,1,5,0,0.0,0.0
30390373,沙湾棕榈泉游泳馆,3,1,2,2,4.7,0.0
112647015,杨柳坪,20,1,4,0,0.0,0.0
13811396,汉昭烈庙,8,1,2,3,4.4,0.0
39192774,蜀水荷乡,3,1,2,1,5.0,0.0
31723295,非遗博览园,3,1,2,2,4.2,0.0
